settore06-M1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.804	0.858	0.830
settore06-M1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.785	0.803	0.794
settore06-M1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.812	0.883	0.846
settore02-C1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.726	0.839	0.778
settore02-C1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.789	0.852	0.819
settore02-C1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.692	0.849	0.763
settore14-D1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.787	0.803	0.795
settore14-D1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.755	0.771	0.763
settore14-D1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.821	0.853	0.837
settore05-C1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.727	0.832	0.776
settore05-C1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.556	0.682	0.612
settore05-C1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.704	0.807	0.752
settore07-H3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.556	0.556	0.556
settore07-H3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.308	0.333	0.320
settore07-H3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.522	0.500	0.511
settore06-D3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.723	0.770	0.746
settore06-D3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.699	0.765	0.730
settore06-D3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.707	0.739	0.722
settore01-A3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.689	0.665	0.677
settore01-A3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.662	0.566	0.610
settore01-A3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.688	0.660	0.674
settore01-A2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.604	0.586	0.595
settore01-A2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.578	0.640	0.608
settore01-A2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.573	0.596	0.584
settore06-C1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.683	0.769	0.723
settore06-C1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.533	0.563	0.547
settore06-C1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.677	0.816	0.740
settore06-E1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.714	0.794	0.752
settore06-E1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.747	0.824	0.783
settore06-E1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.709	0.785	0.745
settore09-G2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.826	0.853	0.839
settore09-G2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.769	0.784	0.777
settore09-G2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.798	0.867	0.831
settore02-B2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.650	0.630	0.640
settore02-B2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.581	0.543	0.562
settore02-B2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.613	0.613	0.613
settore04-A4	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.780	0.889	0.831
settore04-A4	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.804	0.860	0.831
settore04-A4	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.790	0.883	0.834
settore13-D1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.759	0.796	0.777
settore13-D1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.807	0.770	0.788
settore13-D1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.746	0.791	0.768
settore13-A4	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.713	0.810	0.758
settore13-A4	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.762	0.824	0.792
settore13-A4	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.705	0.782	0.741
settore13-A5	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.553	0.491	0.520
settore13-A5	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.467	0.412	0.437
settore13-A5	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.526	0.556	0.541
settore13-A2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.614	0.625	0.619
settore13-A2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.573	0.554	0.564
settore13-A2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.558	0.508	0.532
settore06-N1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.831	0.901	0.865
settore06-N1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.857	0.857	0.857
settore06-N1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.822	0.929	0.872
settore06-D6	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.683	0.783	0.730
settore06-D6	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.647	0.759	0.698
settore06-D6	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.649	0.747	0.695
settore06-F4	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.815	0.874	0.844
settore06-F4	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.761	0.856	0.806
settore06-F4	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.778	0.853	0.813
settore12-H3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.615	0.621	0.618
settore12-H3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.625	0.556	0.588
settore12-H3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.692	0.701	0.697
settore12-E1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.775	0.780	0.777
settore12-E1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.650	0.634	0.642
settore12-E1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.815	0.856	0.835
settore06-D4	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.587	0.575	0.581
settore06-D4	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.436	0.395	0.415
settore06-D4	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.615	0.650	0.632
settore05-A2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.661	0.750	0.703
settore05-A2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.542	0.722	0.619
settore05-A2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.711	0.794	0.750
settore05-A1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.762	0.809	0.785
settore05-A1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.657	0.667	0.662
settore05-A1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.750	0.837	0.791
settore10-H1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.548	0.597	0.571
settore10-H1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.438	0.538	0.483
settore10-H1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.554	0.667	0.605
settore13-D2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.684	0.741	0.711
settore13-D2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.697	0.639	0.667
settore13-D2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.693	0.722	0.707
settore11-E4	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.876	0.931	0.903
settore11-E4	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.896	0.878	0.887
settore11-E4	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.888	0.925	0.906
settore11-E1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.636	0.695	0.664
settore11-E1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.770	0.770	0.770
settore11-E1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.590	0.667	0.626
settore11-E3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.822	0.856	0.839
settore11-E3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.800	0.784	0.792
settore11-E3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.812	0.819	0.815
settore11-E2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.869	0.901	0.885
settore11-E2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.878	0.750	0.809
settore11-E2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.862	0.868	0.865
settore11-D1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.847	0.888	0.867
settore11-D1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.883	0.883	0.883
settore11-D1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.847	0.901	0.873
settore11-D2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.880	0.906	0.893
settore11-D2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.866	0.922	0.893
settore11-D2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.892	0.874	0.883
settore14-C1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.870	0.919	0.894
settore14-C1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.838	0.824	0.831
settore14-C1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.873	0.912	0.892
settore07-H2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.651	0.683	0.667
settore07-H2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.636	0.636	0.636
settore07-H2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.581	0.600	0.590
settore07-H4	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.632	0.750	0.686
settore07-H4	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.778	0.875	0.824
settore07-H4	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.625	0.625	0.625
settore05-B2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.734	0.823	0.776
settore05-B2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.790	0.860	0.824
settore05-B2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.742	0.794	0.767
settore10-B1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.779	0.880	0.826
settore10-B1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.787	0.806	0.797
settore10-B1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.774	0.883	0.825
settore09-B1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.741	0.800	0.769
settore09-B1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.600	0.600	0.600
settore09-B1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.533	0.533	0.533
settore13-B1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.706	0.776	0.739
settore13-B1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.706	0.738	0.722
settore13-B1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.669	0.738	0.702
settore05-F1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.602	0.314	0.413
settore05-F1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.294	0.152	0.200
settore05-F1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.670	0.362	0.470
settore06-A2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.774	0.868	0.818
settore06-A2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.728	0.759	0.743
settore06-A2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.797	0.894	0.843
settore06-A3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.789	0.839	0.813
settore06-A3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.845	0.833	0.839
settore06-A3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.821	0.815	0.818
settore05-E2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.694	0.854	0.766
settore05-E2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.642	0.769	0.700
settore05-E2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.715	0.866	0.783
settore05-I1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.872	0.921	0.896
settore05-I1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.879	0.901	0.890
settore05-I1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.862	0.911	0.886
settore09-G1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.627	0.711	0.667
settore09-G1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.778	0.700	0.737
settore09-G1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.622	0.657	0.639
settore02-B1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.560	0.468	0.509
settore02-B1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.528	0.543	0.535
settore02-B1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.558	0.481	0.516
settore08-A2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.842	0.881	0.861
settore08-A2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.837	0.911	0.872
settore08-A2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.827	0.811	0.819
settore04-A3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.766	0.835	0.799
settore04-A3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.783	0.818	0.800
settore04-A3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.688	0.818	0.747
settore01-A5	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.768	0.778	0.773
settore01-A5	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.652	0.625	0.638
settore01-A5	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.782	0.754	0.768
settore10-M1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.595	0.617	0.606
settore10-M1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.486	0.474	0.480
settore10-M1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.595	0.681	0.635
settore03-C2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.639	0.676	0.657
settore03-C2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.654	0.654	0.654
settore03-C2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.622	0.667	0.644
settore03-A2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.647	0.707	0.676
settore03-A2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.648	0.648	0.648
settore03-A2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.650	0.714	0.680
settore03-A1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.664	0.754	0.706
settore03-A1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.741	0.714	0.727
settore03-A1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.678	0.755	0.714
settore11-C5	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.741	0.850	0.792
settore11-C5	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.736	0.726	0.731
settore11-C5	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.723	0.886	0.796
settore11-C4	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.713	0.799	0.753
settore11-C4	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.826	0.792	0.809
settore11-C4	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.697	0.786	0.739
settore11-C3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.699	0.839	0.763
settore11-C3	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.765	0.684	0.722
settore11-C3	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.646	0.796	0.713
settore11-C1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.698	0.832	0.759
settore11-C1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.688	0.647	0.667
settore11-C1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.714	0.866	0.783
settore05-G1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.855	0.889	0.872
settore05-G1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.796	0.812	0.804
settore05-G1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.846	0.889	0.867
settore09-H1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.754	0.803	0.778
settore09-H1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.766	0.780	0.773
settore09-H1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.739	0.814	0.775
settore03-C1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.682	0.711	0.696
